Potential applied (V)	WE(1).Current (A)	WE(1).Charge (C)	Time (s)	External(1).External 1 (V)	External(1).External 2 (V)
-0.166473388671875	0.000389373779296875	-0.0088514806702733	117.737160702742	-1.21734619140625	6.89544677734375
-0.164031982421875	0.000399627685546875	-0.00883221719413996	117.785988702619	-1.21734619140625	6.89666748046875
-0.161590576171875	0.0004078369140625	-0.00881250388920307	117.834816702496	-1.2176513671875	6.895751953125
-0.159149169921875	0.00042132568359375	-0.00879226066172123	117.883644702372	-1.2176513671875	6.8963623046875
-0.156707763671875	0.000427520751953125	-0.00877153687179089	117.932472702249	-1.21490478515625	6.89697265625
-0.154266357421875	0.000442840576171875	-0.00875028874725103	117.981300702126	-1.2152099609375	6.89605712890625
-0.151824951171875	0.00044879150390625	-0.00872852001339197	118.030128702003	-1.214599609375	6.89727783203125
-0.149383544921875	0.0004637451171875	-0.00870624091476202	118.078956701879	-1.21490478515625	6.89666748046875
-0.146942138671875	0.00047161865234375	-0.00868340488523245	118.127784701756	-1.20758056640625	6.89727783203125
-0.144500732421875	0.00048431396484375	-0.00866006687283516	118.176612701633	-1.2078857421875	6.89727783203125
-0.142059326171875	0.00049530029296875	-0.00863615050911903	118.225440701509	-1.204833984375	6.89788818359375
-0.139617919921875	0.00050506591796875	-0.00861172750592232	118.274268701386	-1.2054443359375	6.89697265625
-0.137176513671875	0.0005194091796875	-0.00858671683818102	118.323096701263	-1.204833984375	6.898193359375
-0.134735107421875	0.0005267333984375	-0.00856117624789476	118.37192470114	-1.20513916015625	6.89849853515625
-0.132293701171875	0.00054290771484375	-0.00853506196290255	118.420752701016	-1.202392578125	6.89849853515625
-0.129852294921875	0.00054931640625	-0.00850839633494616	118.469580700893	-1.202392578125	6.8994140625
-0.127410888671875	0.000565185546875	-0.00848118681460619	118.51840870077	-1.19781494140625	6.89849853515625
-0.124969482421875	0.0005731201171875	-0.00845339614897966	118.567236700647	-1.19781494140625	6.8994140625
-0.122528076171875	0.0005865478515625	-0.00842508394271135	118.616064700523	-1.19232177734375	6.8994140625
-0.120086669921875	0.00059722900390625	-0.00839618314057589	118.6648927004	-1.1932373046875	6.90032958984375
-0.117645263671875	0.00060760498046875	-0.00836676824837923	118.713720700277	-1.19293212890625	6.90032958984375
-0.115203857421875	0.00062103271484375	-0.00833677221089602	118.762548700153	-1.192626953125	6.90093994140625
-0.112762451171875	0.0006280517578125	-0.00830627698451281	118.81137670003	-1.18133544921875	6.90155029296875
-0.110321044921875	0.000643310546875	-0.00827523786574602	118.860204699907	-1.18316650390625	6.900634765625
-0.107879638671875	0.0006488037109375	-0.00824369210749865	118.909032699784	-1.17767333984375	6.9024658203125
-0.105438232421875	0.00066314697265625	-0.00821166299283504	118.95786069966	-1.17767333984375	6.90185546875
-0.102996826171875	0.00066925048828125	-0.00817913375794888	119.006688699537	-1.17584228515625	6.90338134765625
-0.100555419921875	0.00068084716796875	-0.00814617238938808	119.055516699414	-1.17462158203125	6.903076171875
